N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,11.0,0.9400478335741903,101000011100,0.12826034228007,0.29686726538128605
12,5,Local Search,11.0,0.9492695804600908,101001111110,0.15624677737553913,0.8027564266643246
12,5,Local Search,11.0,0.9973026931390807,000010000000,0.04658305644989014,0.6949772812768575
12,5,Local Search,11.0,0.9856999787297392,000000000001,0.05531804958979289,0.5252469712887693
12,5,Local Search,11.0,0.9177805980422694,010000100010,0.09256343841552735,0.8593246051125593
12,5,Local Search,11.0,0.9592017081551303,001000000000,0.04328448375066121,0.006571926053160371
12,5,Local Search,11.0,0.9801710906936683,000110011100,0.10586259762446086,0.184153836308244
12,5,Local Search,11.0,0.929973237790044,000000000001,0.05122522513071696,0.45548225610841747
12,5,Local Search,11.0,0.9367644408568376,111110011000,0.1283247510592143,0.026309746910258558
12,5,Local Search,11.0,0.9069233101700365,000101101001,0.13842906951904296,-0.06801208341858045
12,5,Local Search,11.0,0.9662060041227506,010000100001,0.08538641134897867,0.4820666919853993
12,5,Local Search,11.0,0.9146916441637226,000000000001,0.04853488206863403,0.7964024673019713
12,5,Local Search,11.0,0.9771731989662821,000000000010,0.08448250691095988,0.1310994440401404
12,5,Local Search,11.0,0.9855103921236664,100000100010,0.06313625971476237,0.13535850179520725
12,5,Local Search,11.0,0.9318528650310328,010001000000,0.07228840986887614,0.2001961030107422
12,5,Local Search,11.0,0.9245559936199512,101101111000,0.04867599010467529,0.853992732760858
12,5,Local Search,11.0,0.9877778162422917,000100000010,0.055242677529652916,0.36812537972919
12,5,Local Search,11.0,0.986486011672086,001111000000,0.0752077301343282,0.15956377229662722
12,5,Local Search,11.0,0.9992311489020061,000011000101,0.09973012208938599,0.31604168637755303
12,5,Local Search,11.0,0.9673866290685085,000000000001,0.061964762210845944,0.2642046787277359
12,5,Local Search,11.0,0.9708200140357216,110111100001,0.14402716954549152,0.07532929322458237
12,5,Local Search,11.0,0.9465032780445094,000000010100,0.07155110438664754,0.13836804913080014
12,5,Local Search,11.0,0.9844889153752369,010110001110,0.05290403763453166,0.43688554851324035
12,5,Local Search,11.0,0.9872183388554968,000001111111,0.1261569579442342,0.1879540210198415
12,5,Local Search,11.0,0.9495446055264442,111000101000,0.07964543501536052,-0.01291849905340936
12,5,Local Search,11.0,0.9548334284610736,111111100011,0.171098796526591,0.06029466708732545
12,5,Local Search,11.0,0.9550202725538807,111110000000,0.1260022759437561,0.5026364230186815
12,5,Local Search,11.0,0.8793784125504776,001100011001,0.0837700088818868,0.4994593594255228
12,5,Local Search,11.0,0.9739566564811126,100101101000,0.09632224639256795,0.955672898708501
12,5,Local Search,11.0,0.9990944821570765,111100000110,0.10887233416239421,0.8160814179625535
12,5,Local Search,11.0,0.9502468573316826,001000010010,0.07067138353983561,0.2217703474863678
12,5,Local Search,11.0,0.9552860325989476,011000011001,0.04362102746963501,0.7523525645343865
12,5,Local Search,11.0,0.9379097395829828,111111110000,0.06186334689458211,0.8045831905623371
12,5,Local Search,11.0,0.8648485232946389,110111011101,0.1443939725557963,0.2538564274798203
12,5,Local Search,11.0,0.9696097592513077,000100101010,0.07707550923029581,0.11187929096695748
12,5,Local Search,11.0,0.9688187639477511,000010100101,0.08182077805201213,0.9029996610187383
12,5,Local Search,11.0,0.9737461127509779,000000000010,0.07846060593922934,0.5694255974952791
12,5,Local Search,11.0,0.9977069693558324,101011000100,0.0941244920094808,0.4281991135934424
12,5,Local Search,11.0,0.8899093483466647,010011101000,0.11195942163467407,-0.033885345897782915
12,5,Local Search,11.0,0.9953488472917409,110101111000,0.14575401147206624,0.5810346884924689
12,5,Local Search,11.0,0.9784430120189584,000000000010,0.08729648987452189,0.3221460379033114
12,5,Local Search,11.0,0.905890309756007,100000100000,0.09906408786773682,0.2360211697751221
12,5,Local Search,11.0,0.9994818477386237,101101100111,0.1642797311147054,0.41099600424885596
12,5,Local Search,11.0,0.9496564013438317,101010011010,0.12054707209269205,0.2433652183007401
12,5,Local Search,11.0,0.9455968059573312,100101101010,0.13107080856959025,0.7271943444919744
12,5,Local Search,11.0,0.8701220109576127,000000000010,0.06516898075739543,0.632047913116589
12,5,Local Search,11.0,0.9976695759393601,010010010010,0.11445997556050619,0.8599706166158514
12,5,Local Search,11.0,0.8667435171880512,000100000111,0.08406092723210652,0.7964336186529306
