N,K,STRATEGY,SEARCH ITERATIONS,PERFORMANCE,SOLUTION,TIME TAKEN,IMPROVEMENT
12,5,Local Search,2.0,0.7851907721133292,000000100000,0.10427975654602051,0.18218955153838856
12,5,Local Search,4.0,0.962535917509207,000000011000,0.20917725563049316,0.283261284126746
12,5,Local Search,5.0,0.987583748456669,001000000000,0.21759557723999023,0.458089005333683
12,5,Local Search,2.0,0.8353885123799606,001101010000,0.15803861618041992,0.19567229260086905
12,5,Local Search,4.0,0.7566741886358216,011001000000,0.2705812454223633,0.41601631208065964
12,5,Local Search,2.0,0.718085179564707,111010010000,0.18814301490783691,0.3933782356436547
12,5,Local Search,1.0,0.8837470736348245,010010000000,0.06988859176635742,0.2672784386379311
12,5,Local Search,1.0,0.7249378159064386,010000100000,0.06529617309570312,0.25330638488351576
12,5,Local Search,3.0,0.8958228163295756,010000000100,0.1720871925354004,0.3817399521158663
12,5,Local Search,2.0,0.9484628481691901,010001000000,0.13150262832641602,0.20368893007314637
12,5,Local Search,5.0,0.8818941539599497,011000100000,0.32753467559814453,0.30228897415373324
12,5,Local Search,4.0,0.9758156309814944,000000001000,0.21170330047607422,0.48335075368145886
12,5,Local Search,3.0,0.7010803485860951,110100000001,0.22361326217651367,0.3569255886709578
12,5,Local Search,1.0,0.5290640358113374,011001000100,0.09577369689941406,0.19678711936967985
12,5,Local Search,5.0,0.7762536945513651,000100000000,0.2869877815246582,0.32331737957969403
12,5,Local Search,4.0,0.7616168051501728,000000111000,0.2648477554321289,0.2830298376011642
12,5,Local Search,4.0,0.9371302094847168,000100000110,0.2679762840270996,0.4890871729643715
12,5,Local Search,2.0,0.7768945870601088,001000010100,0.1438446044921875,0.37150079894870264
12,5,Local Search,6.0,0.8481722384988908,000000000100,0.37298154830932617,0.5262146977582974
12,5,Local Search,3.0,0.5882243619163029,010001100000,0.23491859436035156,0.2468218311942837
12,5,Local Search,5.0,0.7532385633829397,000100000010,0.2223196029663086,0.39285713493259916
12,5,Local Search,2.0,0.8202855320102107,110100010000,0.15624165534973145,0.1711423568276922
12,5,Local Search,2.0,0.8859690167773755,000011001100,0.1702113151550293,0.22261153511963594
12,5,Local Search,3.0,0.8577100055243664,000100000000,0.20160245895385742,0.29832349793696167
12,5,Local Search,3.0,0.7358033691547062,001010010000,0.2083299160003662,0.2892854652241241
12,5,Local Search,5.0,0.931365604461758,000000100000,0.3104836940765381,0.720884941177398
12,5,Local Search,1.0,0.5585568441655644,000010010010,0.06394529342651367,0.12414545374874775
12,5,Local Search,3.0,0.7482747028665437,100010000000,0.1690824031829834,0.15223029738044147
12,5,Local Search,1.0,0.695773171579806,001000001010,0.09015655517578125,0.16500865518572672
12,5,Local Search,5.0,0.8276370057906473,001000000010,0.38494133949279785,0.23148699921854576
12,5,Local Search,3.0,0.8682828813785572,001000001000,0.15837550163269043,0.23566237837933623
12,5,Local Search,2.0,0.9447324581550833,010000000000,0.09521794319152832,0.8950063998111815
12,5,Local Search,4.0,0.810875078665387,000010010001,0.2511887550354004,0.2541108129013312
12,5,Local Search,6.0,0.8872392534921638,000000000100,0.3137829303741455,0.38373021853344136
12,5,Local Search,2.0,0.8302542451935239,010000100001,0.11152458190917969,0.20960807369203516
12,5,Local Search,2.0,0.9376973467449585,010001000000,0.11809229850769043,0.3794656300451913
12,5,Local Search,2.0,0.7914794121226288,101000000100,0.12497735023498535,0.38991853892003947
12,5,Local Search,6.0,0.8772907239630868,000000000100,0.33518171310424805,0.5123441819098473
12,5,Local Search,2.0,0.9088014949483826,001100000000,0.1115715503692627,0.5529677553310006
12,5,Local Search,2.0,0.8322525804416561,001010100000,0.1443641185760498,0.3362571911939153
12,5,Local Search,2.0,0.7937236689072527,010000100010,0.1944293975830078,0.2678381150019229
12,5,Local Search,2.0,0.7724100692477054,000100010000,0.20814061164855957,0.3007957480208789
12,5,Local Search,5.0,0.991590957865662,100000000000,0.208756685256958,0.4285970785400649
12,5,Local Search,3.0,0.664036615295557,001100000011,0.2151200771331787,0.13948506164885421
12,5,Local Search,3.0,0.9848174339993577,100000001000,0.1935436725616455,0.3156613923403695
12,5,Local Search,2.0,0.8349453541961894,011100000000,0.17555451393127441,0.3144461550695523
12,5,Local Search,4.0,0.8667203174377633,000000000100,0.17808794975280762,0.3452870079750936
12,5,Local Search,4.0,0.9825075809310657,000100000010,0.25705885887145996,0.34752489482325954
12,5,Local Search,2.0,0.9185176859099727,101000010000,0.16171550750732422,0.385336116762761
12,5,Local Search,5.0,0.842516966883716,001001001000,0.35042476654052734,0.5311065415692968
12,5,Local Search,2.0,0.8675722095896259,011001001000,0.1297144889831543,0.29069219866081075
12,5,Local Search,1.0,0.6549835298497092,100100000010,0.08828568458557129,0.24610481490847097
12,5,Local Search,3.0,0.9746558353354591,000100000000,0.14412760734558105,0.3187989948903459
